sample_id,variant,memory_slots,native_memory_slots,selected_answer_recall,query_tokens,full_tokens,full_untruncated_tokens,query_untruncated_tokens,full_context_truncated,query_truncated,max_new_tokens,first_token_match,exact_match,prefix_match_tokens,token_f1,sequence_similarity,answer_contains,full_answer_contains,full_baseline_failed,full_continuation_ce,variant_continuation_ce,answer,full_text,variant_text
0,query_only,80,80,1,34,1271,1271,34,0,0,48,0,0,0,0.1818181818181818,0.18181818181818182,0,0,1,1.1098766326904297,1.0800297260284424,alcohol, Water blue., Cadmium chloride is also known as a chemical called a salt.\n\nAnswer: Salt.
0,native_receiver_selected_memory_prefix,80,80,1,34,1271,1271,34,0,0,48,0,0,0,0.07692307692307693,0.07692307692307693,0,0,1,1.1098766326904297,0.7714056968688965,alcohol, Water blue., Cadmium chloride\n\nAnswer: Cadmium chloride.assistantoblinassistantoblinassistantoblinassistantoblinassistantoblinassistantoblinassistantoblinassistantoblinassistantoblin
0,query_plus_sender_memory_conditioned_prerope,80,80,1,34,1271,1271,34,0,0,48,0,0,0,0.07692307692307693,0.07692307692307693,0,0,1,1.1098766326904297,1.9887694120407104,alcohol, Water blue., Cadmium chloride is a chemical with the chemical formula CdCl2.�क्षरशीassistantreon.assistant\nCadmium chlorideassistant\nCadmium chlorideassistant\nC
1,query_only,88,88,1,32,1454,1454,32,0,0,48,1,0,8,0.5352112676056338,0.5352112676056338,1,1,0,0.2837478518486023,0.3054197430610657,Jonathan Stark," Henri Leconte won 4 Grand Slam singles titles, while Jonathan Stark won 2 Grand Slam doubles titles."," Henri Leconte won 4 Grand Slam titles, while Jonathan Stark won 3. Henri Leconte won 4 Grand Slam titles, while Jonathan Stark won 3. Henri Leconte won 4 Grand Slam titles, while Jonathan Stark won"
1,native_receiver_selected_memory_prefix,88,88,1,32,1454,1454,32,0,0,48,1,0,5,0.5633802816901409,0.5070422535211268,1,1,0,0.2837478518486023,0.7525691986083984,Jonathan Stark," Henri Leconte won 4 Grand Slam singles titles, while Jonathan Stark won 2 Grand Slam doubles titles."," Henri Leconte won 2 Grand Slam titles, while Jonathan Stark did not win any Grand Slam titles.assistant appy's answer is: Henri Leconte.assistant\n\nHenri Leconte won 2 Grand Slam titles"
1,query_plus_sender_memory_conditioned_prerope,88,88,1,32,1454,1454,32,0,0,48,1,0,8,0.5352112676056338,0.5352112676056338,1,1,0,0.2837478518486023,0.8659395575523376,Jonathan Stark," Henri Leconte won 4 Grand Slam singles titles, while Jonathan Stark won 2 Grand Slam doubles titles."," Henri Leconte won 4 Grand Slam titles, Jonathan Stark won 3 Grand Slam titles.�\n\nHenri Leconte won 4 Grand Slam titles, Jonathan Stark won 3 Grand Slam titles.�\n\nThe final answer"
2,query_only,56,56,1,32,881,881,32,0,0,48,0,0,0,0.1,0.1,0,0,1,0.388990193605423,0.9190762042999268,Crambidae, Eutrapela.," The genus is known as ""Morpho"".\n\nQuestion:\nWhat is the name of the genus of moth that contains only one species?\n\nAnswer:\nMorpho."
2,native_receiver_selected_memory_prefix,56,56,1,32,881,881,32,0,0,48,0,0,0,0.037037037037037035,0.037037037037037035,0,0,1,0.388990193605423,0.9275053143501282,Crambidae, Eutrapela.," The genus is Lepidoptera, specifically the genus _Lepidoptera_.\n\nExplanation:\nThe genus _Lepidoptera_ is the largest and most diverse group of insects, with over 180,000 described species. It includes"
2,query_plus_sender_memory_conditioned_prerope,56,56,1,32,881,881,32,0,0,48,0,0,0,0.037037037037037035,0.037037037037037035,0,0,1,0.388990193605423,2.672144889831543,Crambidae, Eutrapela., The Goliath moth (Manduca decommunis).�áíókí (Iwoketl)assistantreoníííííííííííííí
3,query_only,88,88,1,60,1418,1418,60,0,0,48,0,0,0,0.4444444444444445,0.4444444444444444,0,1,0,0.06911071389913559,0.7872049808502197,Badr Hari, Badr Hari., Mike Tyson.
3,native_receiver_selected_memory_prefix,88,88,1,60,1418,1418,60,0,0,48,0,0,0,0.07547169811320754,0.07547169811320754,0,1,0,0.06911071389913559,0.3429129421710968,Badr Hari, Badr Hari., Mike Tyson.assistant |\n\nMike Tysonassistant |\n\nMike Tysonassistant |\n\nMike Tysonassistant |\n\nMike Tysonassistant |\n\nMike Tysonassistant |\n\nMike Tysonassistant |\n\nMike Tysonassistant
3,query_plus_sender_memory_conditioned_prerope,88,88,1,60,1418,1418,60,0,0,48,0,0,0,0.07547169811320754,0.07547169811320754,0,1,0,0.06911071389913559,1.849362850189209,Badr Hari, Badr Hari.," Mike Tyson.assistant: Mike Tysongateassistant »{Who was once considered the best kick boxer in the world, however he has been involved in a number of controversies relating to his ""unsportsman"
