sample_id,variant,memory_slots,query_tokens,full_tokens,full_untruncated_tokens,query_untruncated_tokens,full_context_truncated,query_truncated,max_new_tokens,first_token_match,exact_match,prefix_match_tokens,token_f1,sequence_similarity,answer_contains,full_answer_contains,full_baseline_failed,full_continuation_ce,variant_continuation_ce,answer,full_text,variant_text
0,query_only,32,34,512,1271,34,1,0,48,0,0,0,0.27118644067796616,0.1694915254237288,0,0,1,1.002610206604004,1.0800297260284424,alcohol," be used as a desiccant, a dehumidifier, and a cleaning agent. It is also used in the manufacture of magnesium metal. Magnesium chloride is a white crystalline solid.", Cadmium chloride is also known as a chemical called a salt.\n\nAnswer: Salt.
0,query_plus_sender_memory_conditioned_prerope,32,34,512,1271,34,1,0,48,0,0,0,0.15730337078651688,0.11235955056179775,0,0,1,1.002610206604004,1.8869452476501465,alcohol," be used as a desiccant, a dehumidifier, and a cleaning agent. It is also used in the manufacture of magnesium metal. Magnesium chloride is a white crystalline solid.", Cadmium chloride is called Bromine chloride.ady.assistant	-	ed.assistant	-	instructions\nAnswer: Bromine chlorideassistant	-	instructions\nAnswer: Bromine chloride
1,query_only,32,32,512,1454,32,1,0,48,0,0,0,0.125,0.0625,1,0,1,0.9584435820579529,0.3054197430610657,Jonathan Stark,"2017 Australian Open, Serena became the first player to win the tournament in consecutive years since 1978. The Williams sisters have been ranked world No. 1 in singles for a record 319 weeks. They have also been ranked world"," Henri Leconte won 4 Grand Slam titles, while Jonathan Stark won 3. Henri Leconte won 4 Grand Slam titles, while Jonathan Stark won 3. Henri Leconte won 4 Grand Slam titles, while Jonathan Stark won"
1,query_plus_sender_memory_conditioned_prerope,32,32,512,1454,32,1,0,48,0,0,0,0.16666666666666666,0.08333333333333333,1,0,1,0.9584435820579529,0.5519228577613831,Jonathan Stark,"2017 Australian Open, Serena became the first player to win the tournament in consecutive years since 1978. The Williams sisters have been ranked world No. 1 in singles for a record 319 weeks. They have also been ranked world"," Henri Leconte won 4 Grand Slam titles, Jonathan Stark won 1 Grand Slam title.assistantreon.assistant\n\nHenri Leconte won 4 Grand Slam titles, Jonathan Stark won 1 Grand Slam title."
2,query_only,32,32,512,881,32,1,0,48,0,0,0,0.19512195121951217,0.07317073170731707,0,0,1,0.604893147945404,0.9190762042999268,Crambidae," species, Yoshiyasua yoshiasua, the yoshiasua grass moth or yoshiasua grass snout moth, which is found in Japan. The habitat consists of deciduous and mixed woodlands.\n[Geography of"," The genus is known as ""Morpho"".\n\nQuestion:\nWhat is the name of the genus of moth that contains only one species?\n\nAnswer:\nMorpho."
2,query_plus_sender_memory_conditioned_prerope,32,32,512,881,32,1,0,48,0,0,0,0.0625,0.020833333333333332,0,0,1,0.604893147945404,0.959671676158905,Crambidae," species, Yoshiyasua yoshiasua, the yoshiasua grass moth or yoshiasua grass snout moth, which is found in Japan. The habitat consists of deciduous and mixed woodlands.\n[Geography of", The Goliath moth (Gymnoptera goliath).ady.ady.ady.ady.ady.ady.ady.ady.
3,query_only,32,60,512,1418,60,1,0,48,0,0,0,0.5714285714285715,0.5714285714285714,0,0,1,1.1979899406433105,0.7872049808502197,Badr Hari, university., Mike Tyson.
3,query_plus_sender_memory_conditioned_prerope,32,60,512,1418,60,1,0,48,0,0,0,0.0784313725490196,0.0784313725490196,0,0,1,1.1979899406433105,1.0694807767868042,Badr Hari, university., Mike Tyson.assistant: Mike Tysonassistant »assistant\n\nMike Tysonassistant\n\nMike Tysonassistant\n\nMike Tysonassistant\n\nMike Tysonassistant\n\nMike Tysonassistant\n\n
4,query_only,32,41,512,1539,41,1,0,48,0,0,0,0.10169491525423728,0.1016949152542373,0,0,1,0.2020784616470337,0.45620009303092957,2006, concluded on 20 October 2014 and consisted of 13 episodes. Series 4 first aired on 13 September 2015 and concluded on 18 October 2015 and consisted of 13 episodes. Series 5 first aired, 2008.\n\nAnswer: 2008.
4,query_plus_sender_memory_conditioned_prerope,32,41,512,1539,41,1,0,48,0,0,0,0.125,0.125,0,0,1,0.2020784616470337,1.499499797821045,2006, concluded on 20 October 2014 and consisted of 13 episodes. Series 4 first aired on 13 September 2015 and concluded on 18 October 2015 and consisted of 13 episodes. Series 5 first aired," 2004.� The answer is 2004.assistant	However, I can only answer one question at a time.assistant	Can you please provide the next question?assistant	You"
